sample ,population,chromosome,rawGenomicCount
HG01775,IBS,chr16,1
HG01775,IBS,chr17,2
HG01775,IBS,chr18,12
HG01775,IBS,chr19,7
HG01775,IBS,chr20,4
HG01775,IBS,chr21,13
HG01775,IBS,chr22,
HG01776,IBS,chr1,26
HG01776,IBS,chr2,10
HG01776,IBS,chr3,5
HG01776,IBS,chr4,21
HG01776,IBS,chr5,106
HG01776,IBS,chr6,3
HG01776,IBS,chr7,10
HG01776,IBS,chr8,3
HG01776,IBS,chr9,2
HG01776,IBS,chr10,6
HG01776,IBS,chr11,5
HG01776,IBS,chr12,50
HG01776,IBS,chr13,
HG01776,IBS,chr14,
HG01776,IBS,chr15,9
HG01776,IBS,chr16,
HG01776,IBS,chr17,
HG01776,IBS,chr18,12
HG01776,IBS,chr19,2
HG01776,IBS,chr20,1
HG01776,IBS,chr21,10
HG01776,IBS,chr22,
HG01777,IBS,chr1,69
HG01777,IBS,chr2,12
HG01777,IBS,chr3,5
HG01777,IBS,chr4,64
HG01777,IBS,chr5,152
HG01777,IBS,chr6,4
HG01777,IBS,chr7,18
HG01777,IBS,chr8,5
HG01777,IBS,chr9,9
HG01777,IBS,chr10,8
HG01777,IBS,chr11,8
HG01777,IBS,chr12,45
HG01777,IBS,chr13,
HG01777,IBS,chr14,
HG01777,IBS,chr15,27
HG01777,IBS,chr16,4
HG01777,IBS,chr17,2
HG01777,IBS,chr18,18
HG01777,IBS,chr19,33
HG01777,IBS,chr20,7
HG01777,IBS,chr21,20
HG01777,IBS,chr22,3
HG01779,IBS,chr1,67
HG01779,IBS,chr2,13
HG01779,IBS,chr3,6
HG01779,IBS,chr4,35
HG01779,IBS,chr5,141
HG01779,IBS,chr6,2
HG01779,IBS,chr7,16
HG01779,IBS,chr8,3
HG01779,IBS,chr9,4
HG01779,IBS,chr10,7
HG01779,IBS,chr11,3
HG01779,IBS,chr12,61
HG01779,IBS,chr13,
HG01779,IBS,chr14,
HG01779,IBS,chr15,20
HG01779,IBS,chr16,3
HG01779,IBS,chr17,3
HG01779,IBS,chr18,18
HG01779,IBS,chr19,12
HG01779,IBS,chr20,9
HG01779,IBS,chr21,15
HG01779,IBS,chr22,3
HG01781,IBS,chr1,73
HG01781,IBS,chr2,12
HG01781,IBS,chr3,8
HG01781,IBS,chr4,48
HG01781,IBS,chr5,226
HG01781,IBS,chr6,6
HG01781,IBS,chr7,10
HG01781,IBS,chr8,1
HG01781,IBS,chr9,6
HG01781,IBS,chr10,10
HG01781,IBS,chr11,4
HG01781,IBS,chr12,69
HG01781,IBS,chr13,
HG01781,IBS,chr14,
HG01781,IBS,chr15,15
HG01781,IBS,chr16,1
HG01781,IBS,chr17,
HG01781,IBS,chr18,19
HG01781,IBS,chr19,4
HG01781,IBS,chr20,6
HG01781,IBS,chr21,21
HG01781,IBS,chr22,
HG01783,IBS,chr1,42
HG01783,IBS,chr2,14
HG01783,IBS,chr3,6
HG01783,IBS,chr4,45
HG01783,IBS,chr5,126
HG01783,IBS,chr6,3
HG01783,IBS,chr7,15
HG01783,IBS,chr8,6
HG01783,IBS,chr9,1
HG01783,IBS,chr10,9
HG01783,IBS,chr11,3
HG01783,IBS,chr12,33
HG01783,IBS,chr13,
HG01783,IBS,chr14,
HG01783,IBS,chr15,17
HG01783,IBS,chr16,4
HG01783,IBS,chr17,
HG01783,IBS,chr18,11
HG01783,IBS,chr19,8
HG01783,IBS,chr20,6
HG01783,IBS,chr21,13
HG01783,IBS,chr22,2
HG01784,IBS,chr1,103
HG01784,IBS,chr2,17
HG01784,IBS,chr3,8
HG01784,IBS,chr4,66
HG01784,IBS,chr5,373
HG01784,IBS,chr6,8
HG01784,IBS,chr7,29
HG01784,IBS,chr8,3
HG01784,IBS,chr9,3
HG01784,IBS,chr10,14
HG01784,IBS,chr11,6
HG01784,IBS,chr12,100
HG01784,IBS,chr13,1
HG01784,IBS,chr14,1
HG01784,IBS,chr15,19
HG01784,IBS,chr16,4
HG01784,IBS,chr17,4
HG01784,IBS,chr18,30
HG01784,IBS,chr19,23
HG01784,IBS,chr20,8
HG01784,IBS,chr21,19
HG01784,IBS,chr22,3
HG01785,IBS,chr1,26
HG01785,IBS,chr2,5
HG01785,IBS,chr3,4
HG01785,IBS,chr4,13
HG01785,IBS,chr5,40
HG01785,IBS,chr6,4
HG01785,IBS,chr7,3
HG01785,IBS,chr8,2
HG01785,IBS,chr9,1
HG01785,IBS,chr10,1
HG01785,IBS,chr11,1
HG01785,IBS,chr12,16
HG01785,IBS,chr13,
HG01785,IBS,chr14,
HG01785,IBS,chr15,5
HG01785,IBS,chr16,
HG01785,IBS,chr17,
HG01785,IBS,chr18,2
HG01785,IBS,chr19,3
HG01785,IBS,chr20,4
HG01785,IBS,chr21,
HG01785,IBS,chr22,
HG01786,IBS,chr1,20
HG01786,IBS,chr2,6
HG01786,IBS,chr3,1
HG01786,IBS,chr4,17
HG01786,IBS,chr5,33
HG01786,IBS,chr6,1
HG01786,IBS,chr7,5
HG01786,IBS,chr8,1
HG01786,IBS,chr9,3
HG01786,IBS,chr10,3
HG01786,IBS,chr11,6
HG01786,IBS,chr12,7
HG01786,IBS,chr13,
HG01786,IBS,chr14,
HG01786,IBS,chr15,3
HG01786,IBS,chr16,
HG01786,IBS,chr17,
HG01786,IBS,chr18,3
HG01786,IBS,chr19,2
HG01786,IBS,chr20,2
HG01786,IBS,chr21,3
HG01786,IBS,chr22,
HG01789,GBR,chr1,53
HG01789,GBR,chr2,20
HG01789,GBR,chr3,3
HG01789,GBR,chr4,26
HG01789,GBR,chr5,372
HG01789,GBR,chr6,6
HG01789,GBR,chr7,19
HG01789,GBR,chr8,1
HG01789,GBR,chr9,3
HG01789,GBR,chr10,6
HG01789,GBR,chr11,3
HG01789,GBR,chr12,121
HG01789,GBR,chr13,
HG01789,GBR,chr14,
HG01789,GBR,chr15,9
HG01789,GBR,chr16,
HG01789,GBR,chr17,
HG01789,GBR,chr18,5
HG01789,GBR,chr19,3
HG01789,GBR,chr20,3
HG01789,GBR,chr21,12
HG01789,GBR,chr22,
HG01790,GBR,chr1,60
HG01790,GBR,chr2,14
HG01790,GBR,chr3,6
HG01790,GBR,chr4,30
HG01790,GBR,chr5,310
HG01790,GBR,chr6,6
HG01790,GBR,chr7,7
HG01790,GBR,chr8,
HG01790,GBR,chr9,4
HG01790,GBR,chr10,9
HG01790,GBR,chr11,3
HG01790,GBR,chr12,92
HG01790,GBR,chr13,
HG01790,GBR,chr14,
HG01790,GBR,chr15,9
HG01790,GBR,chr16,3
HG01790,GBR,chr17,1
HG01790,GBR,chr18,7
HG01790,GBR,chr19,5
HG01790,GBR,chr20,3
HG01790,GBR,chr21,16
HG01790,GBR,chr22,2
HG01791,GBR,chr1,42
HG01791,GBR,chr2,11
HG01791,GBR,chr3,3
HG01791,GBR,chr4,42
HG01791,GBR,chr5,235
HG01791,GBR,chr6,1
HG01791,GBR,chr7,11
HG01791,GBR,chr8,2
HG01791,GBR,chr9,
HG01791,GBR,chr10,13
HG01791,GBR,chr11,3
HG01791,GBR,chr12,81
HG01791,GBR,chr13,
HG01791,GBR,chr14,
HG01791,GBR,chr15,15
HG01791,GBR,chr16,1
HG01791,GBR,chr17,4
HG01791,GBR,chr18,9
HG01791,GBR,chr19,5
HG01791,GBR,chr20,1
HG01791,GBR,chr21,8
HG01791,GBR,chr22,
HG01794,CDX,chr1,39
HG01794,CDX,chr2,22
HG01794,CDX,chr3,7
HG01794,CDX,chr4,24
HG01794,CDX,chr5,89
HG01794,CDX,chr6,6
HG01794,CDX,chr7,7
HG01794,CDX,chr8,2
HG01794,CDX,chr9,6
HG01794,CDX,chr10,10
HG01794,CDX,chr11,5
HG01794,CDX,chr12,35
HG01794,CDX,chr13,
HG01794,CDX,chr14,
HG01794,CDX,chr15,12
HG01794,CDX,chr16,2
HG01794,CDX,chr17,5
HG01794,CDX,chr18,12
HG01794,CDX,chr19,11
HG01794,CDX,chr20,8
HG01794,CDX,chr21,7
HG01794,CDX,chr22,1
HG01795,CDX,chr1,69
HG01795,CDX,chr2,11
HG01795,CDX,chr3,1
HG01795,CDX,chr4,35
HG01795,CDX,chr5,190
HG01795,CDX,chr6,10
HG01795,CDX,chr7,22
HG01795,CDX,chr8,
HG01795,CDX,chr9,4
HG01795,CDX,chr10,11
HG01795,CDX,chr11,4
HG01795,CDX,chr12,53
HG01795,CDX,chr13,
HG01795,CDX,chr14,
HG01795,CDX,chr15,10
HG01795,CDX,chr16,6
HG01795,CDX,chr17,5
HG01795,CDX,chr18,20
HG01795,CDX,chr19,14
HG01795,CDX,chr20,7
HG01795,CDX,chr21,17
HG01795,CDX,chr22,
HG01796,CDX,chr1,44
HG01796,CDX,chr2,10
HG01796,CDX,chr3,7
HG01796,CDX,chr4,28
HG01796,CDX,chr5,127
HG01796,CDX,chr6,9
HG01796,CDX,chr7,13
HG01796,CDX,chr8,4
HG01796,CDX,chr9,7
HG01796,CDX,chr10,13
HG01796,CDX,chr11,7
HG01796,CDX,chr12,40
HG01796,CDX,chr13,
HG01796,CDX,chr14,
HG01796,CDX,chr15,8
HG01796,CDX,chr16,1
HG01796,CDX,chr17,
HG01796,CDX,chr18,17
HG01796,CDX,chr19,3
HG01796,CDX,chr20,5
HG01796,CDX,chr21,8
HG01796,CDX,chr22,
HG01797,CDX,chr1,80
HG01797,CDX,chr2,9
HG01797,CDX,chr3,6
HG01797,CDX,chr4,70
HG01797,CDX,chr5,167
HG01797,CDX,chr6,4
HG01797,CDX,chr7,24
HG01797,CDX,chr8,5
HG01797,CDX,chr9,4
HG01797,CDX,chr10,9
HG01797,CDX,chr11,3
HG01797,CDX,chr12,54
HG01797,CDX,chr13,1
HG01797,CDX,chr14,
HG01797,CDX,chr15,10
HG01797,CDX,chr16,3
HG01797,CDX,chr17,5
HG01797,CDX,chr18,32
HG01797,CDX,chr19,127
HG01797,CDX,chr20,7
HG01797,CDX,chr21,13
HG01797,CDX,chr22,2
HG01798,CDX,chr1,39
HG01798,CDX,chr2,5
HG01798,CDX,chr3,4
HG01798,CDX,chr4,34
HG01798,CDX,chr5,155
HG01798,CDX,chr6,7
HG01798,CDX,chr7,13
HG01798,CDX,chr8,1
HG01798,CDX,chr9,7
HG01798,CDX,chr10,10
HG01798,CDX,chr11,3
HG01798,CDX,chr12,37
HG01798,CDX,chr13,
HG01798,CDX,chr14,
HG01798,CDX,chr15,17
HG01798,CDX,chr16,5
HG01798,CDX,chr17,1
HG01798,CDX,chr18,13
HG01798,CDX,chr19,4
HG01798,CDX,chr20,2
HG01798,CDX,chr21,10
HG01798,CDX,chr22,
HG01799,CDX,chr1,75
HG01799,CDX,chr2,8
HG01799,CDX,chr3,6
HG01799,CDX,chr4,38
HG01799,CDX,chr5,145
HG01799,CDX,chr6,5
HG01799,CDX,chr7,26
HG01799,CDX,chr8,4
HG01799,CDX,chr9,4
HG01799,CDX,chr10,22
HG01799,CDX,chr11,4
HG01799,CDX,chr12,59
HG01799,CDX,chr13,
HG01799,CDX,chr14,
HG01799,CDX,chr15,30
HG01799,CDX,chr16,2
HG01799,CDX,chr17,
HG01799,CDX,chr18,22
HG01799,CDX,chr19,8
HG01799,CDX,chr20,8
HG01799,CDX,chr21,14
HG01799,CDX,chr22,
HG01800,CDX,chr1,50
HG01800,CDX,chr2,16
HG01800,CDX,chr3,6
HG01800,CDX,chr4,37
HG01800,CDX,chr5,159
HG01800,CDX,chr6,2
HG01800,CDX,chr7,19
HG01800,CDX,chr8,5
HG01800,CDX,chr9,7
HG01800,CDX,chr10,14
HG01800,CDX,chr11,4
HG01800,CDX,chr12,49
HG01800,CDX,chr13,
HG01800,CDX,chr14,
HG01800,CDX,chr15,18
HG01800,CDX,chr16,2
HG01800,CDX,chr17,2
HG01800,CDX,chr18,28
HG01800,CDX,chr19,62
HG01800,CDX,chr20,8
HG01800,CDX,chr21,11
HG01800,CDX,chr22,
HG01801,CDX,chr1,48
HG01801,CDX,chr2,17
HG01801,CDX,chr3,3
HG01801,CDX,chr4,52
HG01801,CDX,chr5,145
HG01801,CDX,chr6,9
HG01801,CDX,chr7,17
HG01801,CDX,chr8,3
HG01801,CDX,chr9,3
HG01801,CDX,chr10,11
HG01801,CDX,chr11,7
HG01801,CDX,chr12,46
HG01801,CDX,chr13,
HG01801,CDX,chr14,
HG01801,CDX,chr15,15
HG01801,CDX,chr16,3
HG01801,CDX,chr17,2
HG01801,CDX,chr18,29
HG01801,CDX,chr19,25
HG01801,CDX,chr20,4
HG01801,CDX,chr21,13
HG01801,CDX,chr22,
HG01802,CDX,chr1,79
HG01802,CDX,chr2,12
HG01802,CDX,chr3,7
HG01802,CDX,chr4,55
HG01802,CDX,chr5,185
HG01802,CDX,chr6,7
HG01802,CDX,chr7,22
HG01802,CDX,chr8,5
HG01802,CDX,chr9,6
HG01802,CDX,chr10,19
HG01802,CDX,chr11,5
HG01802,CDX,chr12,60
HG01802,CDX,chr13,
HG01802,CDX,chr14,
HG01802,CDX,chr15,20
HG01802,CDX,chr16,3
HG01802,CDX,chr17,5
HG01802,CDX,chr18,19
HG01802,CDX,chr19,13
HG01802,CDX,chr20,7
HG01802,CDX,chr21,19
HG01802,CDX,chr22,1
HG01804,CDX,chr1,59
HG01804,CDX,chr2,20
HG01804,CDX,chr3,4
HG01804,CDX,chr4,42
HG01804,CDX,chr5,171
HG01804,CDX,chr6,10
HG01804,CDX,chr7,23
HG01804,CDX,chr8,10
HG01804,CDX,chr9,7
HG01804,CDX,chr10,12
HG01804,CDX,chr11,4
HG01804,CDX,chr12,56
HG01804,CDX,chr13,
HG01804,CDX,chr14,
HG01804,CDX,chr15,15
HG01804,CDX,chr16,4
HG01804,CDX,chr17,4
HG01804,CDX,chr18,16
HG01804,CDX,chr19,12
HG01804,CDX,chr20,5
HG01804,CDX,chr21,18
HG01804,CDX,chr22,2
HG01805,CDX,chr1,56
HG01805,CDX,chr2,18
HG01805,CDX,chr3,6
HG01805,CDX,chr4,50
HG01805,CDX,chr5,147
HG01805,CDX,chr6,3
HG01805,CDX,chr7,30
HG01805,CDX,chr8,4
HG01805,CDX,chr9,5
HG01805,CDX,chr10,26
HG01805,CDX,chr11,2
HG01805,CDX,chr12,44
HG01805,CDX,chr13,1
HG01805,CDX,chr14,
HG01805,CDX,chr15,12
HG01805,CDX,chr16,3
HG01805,CDX,chr17,
HG01805,CDX,chr18,11
HG01805,CDX,chr19,6
HG01805,CDX,chr20,3
HG01805,CDX,chr21,15
HG01805,CDX,chr22,
HG01850,KHV,chr1,50
HG01850,KHV,chr2,7
HG01850,KHV,chr3,6
HG01850,KHV,chr4,27
HG01850,KHV,chr5,87
HG01850,KHV,chr6,13
HG01850,KHV,chr7,13
HG01850,KHV,chr8,5
HG01850,KHV,chr9,4
HG01850,KHV,chr10,15
HG01850,KHV,chr11,5
HG01850,KHV,chr12,34
HG01850,KHV,chr13,
HG01850,KHV,chr14,
HG01850,KHV,chr15,12
HG01850,KHV,chr16,2
HG01850,KHV,chr17,1
HG01850,KHV,chr18,20
HG01850,KHV,chr19,6
HG01850,KHV,chr20,6
HG01850,KHV,chr21,7
HG01850,KHV,chr22,
HG01851,KHV,chr1,40
HG01851,KHV,chr2,7
HG01851,KHV,chr3,2
HG01851,KHV,chr4,29
HG01851,KHV,chr5,70
HG01851,KHV,chr6,3
HG01851,KHV,chr7,7
HG01851,KHV,chr8,2
HG01851,KHV,chr9,7
HG01851,KHV,chr10,12
HG01851,KHV,chr11,2
HG01851,KHV,chr12,19
HG01851,KHV,chr13,
HG01851,KHV,chr14,
HG01851,KHV,chr15,9
HG01851,KHV,chr16,2
HG01851,KHV,chr17,
HG01851,KHV,chr18,19
HG01851,KHV,chr19,24
HG01851,KHV,chr20,4
HG01851,KHV,chr21,4
HG01851,KHV,chr22,1
HG01852,KHV,chr1,43
HG01852,KHV,chr2,10
HG01852,KHV,chr3,8
HG01852,KHV,chr4,21
HG01852,KHV,chr5,86
HG01852,KHV,chr6,3
HG01852,KHV,chr7,19
HG01852,KHV,chr8,2
HG01852,KHV,chr9,4
HG01852,KHV,chr10,9
HG01852,KHV,chr11,1
HG01852,KHV,chr12,44
HG01852,KHV,chr13,
HG01852,KHV,chr14,
HG01852,KHV,chr15,4
HG01852,KHV,chr16,1
HG01852,KHV,chr17,1
HG01852,KHV,chr18,6
HG01852,KHV,chr19,3
HG01852,KHV,chr20,3
HG01852,KHV,chr21,9
HG01852,KHV,chr22,
HG01853,KHV,chr1,53
HG01853,KHV,chr2,4
HG01853,KHV,chr3,7
HG01853,KHV,chr4,24
HG01853,KHV,chr5,90
HG01853,KHV,chr6,7
HG01853,KHV,chr7,16
HG01853,KHV,chr8,1
HG01853,KHV,chr9,3
HG01853,KHV,chr10,10
HG01853,KHV,chr11,6
HG01853,KHV,chr12,35
HG01853,KHV,chr13,
HG01853,KHV,chr14,
HG01853,KHV,chr15,17
HG01853,KHV,chr16,2
HG01853,KHV,chr17,2
HG01853,KHV,chr18,8
HG01853,KHV,chr19,8
HG01853,KHV,chr20,3
HG01853,KHV,chr21,11
HG01853,KHV,chr22,
HG01855,KHV,chr1,41
HG01855,KHV,chr2,5
HG01855,KHV,chr3,4
HG01855,KHV,chr4,29
HG01855,KHV,chr5,105
HG01855,KHV,chr6,2
HG01855,KHV,chr7,14
HG01855,KHV,chr8,1
HG01855,KHV,chr9,4
HG01855,KHV,chr10,8
HG01855,KHV,chr11,2
HG01855,KHV,chr12,50
HG01855,KHV,chr13,
HG01855,KHV,chr14,
HG01855,KHV,chr15,12
HG01855,KHV,chr16,7
HG01855,KHV,chr17,3
HG01855,KHV,chr18,16
HG01855,KHV,chr19,7
HG01855,KHV,chr20,5
HG01855,KHV,chr21,9
HG01855,KHV,chr22,
HG01857,KHV,chr1,28
HG01857,KHV,chr2,7
HG01857,KHV,chr3,7
HG01857,KHV,chr4,34
HG01857,KHV,chr5,94
HG01857,KHV,chr6,4
HG01857,KHV,chr7,7
HG01857,KHV,chr8,2
HG01857,KHV,chr9,2
HG01857,KHV,chr10,7
HG01857,KHV,chr11,1
HG01857,KHV,chr12,32
HG01857,KHV,chr13,1
HG01857,KHV,chr14,
HG01857,KHV,chr15,9
HG01857,KHV,chr16,1
HG01857,KHV,chr17,
HG01857,KHV,chr18,14
HG01857,KHV,chr19,4
HG01857,KHV,chr20,8
HG01857,KHV,chr21,12
HG01857,KHV,chr22,
HG01858,KHV,chr1,42
HG01858,KHV,chr2,12
HG01858,KHV,chr3,3
HG01858,KHV,chr4,22
HG01858,KHV,chr5,77
HG01858,KHV,chr6,3
HG01858,KHV,chr7,14
HG01858,KHV,chr8,1
HG01858,KHV,chr9,3
HG01858,KHV,chr10,2
HG01858,KHV,chr11,2
HG01858,KHV,chr12,35
HG01858,KHV,chr13,
HG01858,KHV,chr14,
HG01858,KHV,chr15,9
HG01858,KHV,chr16,4
HG01858,KHV,chr17,1
HG01858,KHV,chr18,14
HG01858,KHV,chr19,12
HG01858,KHV,chr20,5
HG01858,KHV,chr21,11
HG01858,KHV,chr22,3
HG01859,KHV,chr1,34
HG01859,KHV,chr2,2
HG01859,KHV,chr3,6
HG01859,KHV,chr4,20
HG01859,KHV,chr5,67
HG01859,KHV,chr6,5
HG01859,KHV,chr7,6
HG01859,KHV,chr8,1
HG01859,KHV,chr9,4
HG01859,KHV,chr10,10
HG01859,KHV,chr11,3
HG01859,KHV,chr12,27
HG01859,KHV,chr13,
HG01859,KHV,chr14,
HG01859,KHV,chr15,5
HG01859,KHV,chr16,1
HG01859,KHV,chr17,
HG01859,KHV,chr18,8
HG01859,KHV,chr19,1
HG01859,KHV,chr20,1
HG01859,KHV,chr21,4
HG01859,KHV,chr22,
HG01860,KHV,chr1,58
HG01860,KHV,chr2,12
HG01860,KHV,chr3,6
HG01860,KHV,chr4,32
HG01860,KHV,chr5,260
HG01860,KHV,chr6,1
HG01860,KHV,chr7,13
HG01860,KHV,chr8,4
HG01860,KHV,chr9,6
HG01860,KHV,chr10,12
HG01860,KHV,chr11,2
HG01860,KHV,chr12,60
HG01860,KHV,chr13,
HG01860,KHV,chr14,
HG01860,KHV,chr15,11
HG01860,KHV,chr16,5
HG01860,KHV,chr17,1
HG01860,KHV,chr18,18
HG01860,KHV,chr19,7
HG01860,KHV,chr20,7
HG01860,KHV,chr21,13
HG01860,KHV,chr22,
HG01861,KHV,chr1,59
HG01861,KHV,chr2,10
HG01861,KHV,chr3,12
HG01861,KHV,chr4,41
HG01861,KHV,chr5,276
HG01861,KHV,chr6,5
HG01861,KHV,chr7,15
HG01861,KHV,chr8,
HG01861,KHV,chr9,7
HG01861,KHV,chr10,12
HG01861,KHV,chr11,6
HG01861,KHV,chr12,83
HG01861,KHV,chr13,
HG01861,KHV,chr14,
HG01861,KHV,chr15,16
HG01861,KHV,chr16,2
HG01861,KHV,chr17,3
HG01861,KHV,chr18,16
HG01861,KHV,chr19,18
HG01861,KHV,chr20,3
HG01861,KHV,chr21,12
HG01861,KHV,chr22,3
HG01862,KHV,chr1,85
HG01862,KHV,chr2,21
HG01862,KHV,chr3,7
HG01862,KHV,chr4,45
HG01862,KHV,chr5,181
HG01862,KHV,chr6,12
HG01862,KHV,chr7,22
HG01862,KHV,chr8,4
HG01862,KHV,chr9,10
HG01862,KHV,chr10,13
HG01862,KHV,chr11,12
HG01862,KHV,chr12,63
HG01862,KHV,chr13,
HG01862,KHV,chr14,
HG01862,KHV,chr15,15
HG01862,KHV,chr16,3
HG01862,KHV,chr17,6
HG01862,KHV,chr18,26
HG01862,KHV,chr19,11
HG01862,KHV,chr20,5
HG01862,KHV,chr21,15
HG01862,KHV,chr22,2
HG01863,KHV,chr1,80
HG01863,KHV,chr2,19
HG01863,KHV,chr3,22
HG01863,KHV,chr4,59
HG01863,KHV,chr5,291
HG01863,KHV,chr6,9
HG01863,KHV,chr7,32
HG01863,KHV,chr8,5
HG01863,KHV,chr9,12
HG01863,KHV,chr10,11
HG01863,KHV,chr11,6
HG01863,KHV,chr12,81
HG01863,KHV,chr13,
HG01863,KHV,chr14,1
HG01863,KHV,chr15,17
HG01863,KHV,chr16,6
HG01863,KHV,chr17,4
HG01863,KHV,chr18,26
HG01863,KHV,chr19,16
HG01863,KHV,chr20,6
HG01863,KHV,chr21,13
HG01863,KHV,chr22,
HG01864,KHV,chr1,69
HG01864,KHV,chr2,13
HG01864,KHV,chr3,7
HG01864,KHV,chr4,42
HG01864,KHV,chr5,187
HG01864,KHV,chr6,7
HG01864,KHV,chr7,22
HG01864,KHV,chr8,4
HG01864,KHV,chr9,10
HG01864,KHV,chr10,10
HG01864,KHV,chr11,9
HG01864,KHV,chr12,68
HG01864,KHV,chr13,1
HG01864,KHV,chr14,
HG01864,KHV,chr15,19
HG01864,KHV,chr16,9
HG01864,KHV,chr17,4
HG01864,KHV,chr18,23
HG01864,KHV,chr19,8
HG01864,KHV,chr20,5
HG01864,KHV,chr21,16
HG01864,KHV,chr22,
HG01865,KHV,chr1,78
HG01865,KHV,chr2,10
HG01865,KHV,chr3,11
HG01865,KHV,chr4,51
HG01865,KHV,chr5,239
HG01865,KHV,chr6,11
HG01865,KHV,chr7,25
HG01865,KHV,chr8,1
HG01865,KHV,chr9,10
HG01865,KHV,chr10,9
HG01865,KHV,chr11,5
HG01865,KHV,chr12,86
HG01865,KHV,chr13,1
HG01865,KHV,chr14,
HG01865,KHV,chr15,18
HG01865,KHV,chr16,1
HG01865,KHV,chr17,5
HG01865,KHV,chr18,20
HG01865,KHV,chr19,4
HG01865,KHV,chr20,6
HG01865,KHV,chr21,11
HG01865,KHV,chr22,
HG01866,KHV,chr1,43
HG01866,KHV,chr2,9
HG01866,KHV,chr3,1
HG01866,KHV,chr4,34
HG01866,KHV,chr5,125
HG01866,KHV,chr6,6
HG01866,KHV,chr7,6
HG01866,KHV,chr8,1
HG01866,KHV,chr9,7
HG01866,KHV,chr10,10
HG01866,KHV,chr11,6
HG01866,KHV,chr12,31
HG01866,KHV,chr13,
HG01866,KHV,chr14,
HG01866,KHV,chr15,15
HG01866,KHV,chr16,1
HG01866,KHV,chr17,1
HG01866,KHV,chr18,10
HG01866,KHV,chr19,8
HG01866,KHV,chr20,3
HG01866,KHV,chr21,14
HG01866,KHV,chr22,1
HG01867,KHV,chr1,44
HG01867,KHV,chr2,9
HG01867,KHV,chr3,7
HG01867,KHV,chr4,27
HG01867,KHV,chr5,128
HG01867,KHV,chr6,4
HG01867,KHV,chr7,16
HG01867,KHV,chr8,2
HG01867,KHV,chr9,8
HG01867,KHV,chr10,10
HG01867,KHV,chr11,8
HG01867,KHV,chr12,52
HG01867,KHV,chr13,
HG01867,KHV,chr14,
HG01867,KHV,chr15,16
HG01867,KHV,chr16,5
HG01867,KHV,chr17,4
HG01867,KHV,chr18,23
HG01867,KHV,chr19,3
HG01867,KHV,chr20,5
HG01867,KHV,chr21,13
HG01867,KHV,chr22,
HG01868,KHV,chr1,44
HG01868,KHV,chr2,20
HG01868,KHV,chr3,4
HG01868,KHV,chr4,39
HG01868,KHV,chr5,147
HG01868,KHV,chr6,2
HG01868,KHV,chr7,12
HG01868,KHV,chr8,7
HG01868,KHV,chr9,6
HG01868,KHV,chr10,7
HG01868,KHV,chr11,9
HG01868,KHV,chr12,46
HG01868,KHV,chr13,
HG01868,KHV,chr14,
HG01868,KHV,chr15,9
HG01868,KHV,chr16,5
HG01868,KHV,chr17,3
HG01868,KHV,chr18,18
HG01868,KHV,chr19,7
HG01868,KHV,chr20,3
HG01868,KHV,chr21,10
HG01868,KHV,chr22,
HG01869,KHV,chr1,62
HG01869,KHV,chr2,5
HG01869,KHV,chr3,9
HG01869,KHV,chr4,36
HG01869,KHV,chr5,123
HG01869,KHV,chr6,5
HG01869,KHV,chr7,19
HG01869,KHV,chr8,6
HG01869,KHV,chr9,4
HG01869,KHV,chr10,6
HG01869,KHV,chr11,5
HG01869,KHV,chr12,48
HG01869,KHV,chr13,1
HG01869,KHV,chr14,
HG01869,KHV,chr15,11
HG01869,KHV,chr16,5
HG01869,KHV,chr17,2
HG01869,KHV,chr18,17
HG01869,KHV,chr19,8
HG01869,KHV,chr20,4
HG01869,KHV,chr21,13
HG01869,KHV,chr22,
HG01870,KHV,chr1,61
HG01870,KHV,chr2,4
HG01870,KHV,chr3,2
HG01870,KHV,chr4,56
HG01870,KHV,chr5,175
HG01870,KHV,chr6,11
HG01870,KHV,chr7,21
HG01870,KHV,chr8,2
HG01870,KHV,chr9,8
HG01870,KHV,chr10,10
HG01870,KHV,chr11,5
HG01870,KHV,chr12,45
HG01870,KHV,chr13,
HG01870,KHV,chr14,
HG01870,KHV,chr15,20
HG01870,KHV,chr16,14
HG01870,KHV,chr17,4
HG01870,KHV,chr18,23
HG01870,KHV,chr19,13
HG01870,KHV,chr20,4
HG01870,KHV,chr21,7
HG01870,KHV,chr22,
HG01871,KHV,chr1,69
HG01871,KHV,chr2,6
HG01871,KHV,chr3,8
HG01871,KHV,chr4,62
HG01871,KHV,chr5,159
HG01871,KHV,chr6,9
HG01871,KHV,chr7,22
HG01871,KHV,chr8,1
HG01871,KHV,chr9,8
HG01871,KHV,chr10,13
HG01871,KHV,chr11,8
HG01871,KHV,chr12,45
HG01871,KHV,chr13,
HG01871,KHV,chr14,
HG01871,KHV,chr15,16
HG01871,KHV,chr16,3
HG01871,KHV,chr17,
HG01871,KHV,chr18,23
HG01871,KHV,chr19,11
HG01871,KHV,chr20,10
HG01871,KHV,chr21,12
HG01871,KHV,chr22,
HG01872,KHV,chr1,79
HG01872,KHV,chr2,7
HG01872,KHV,chr3,8
HG01872,KHV,chr4,60
HG01872,KHV,chr5,215
HG01872,KHV,chr6,2
HG01872,KHV,chr7,10
HG01872,KHV,chr8,3
HG01872,KHV,chr9,4
